// Donator Status
"imba_donator_label_1"		"IMBA Lead-dev"
"imba_donator_label_2"		"IMBA Dev"
"imba_donator_label_3"		"Administrator"
"imba_donator_label_4"		"Ember Donator"
"imba_donator_label_5"		"Golden Donator"
"imba_donator_label_6"		"Donator"
"imba_donator_label_7"		"Salamander Donator"
"imba_donator_label_8"		"Icefrog Donator"
"imba_donator_label_9"		"Gaben Donator"
"imba_donator_label_10"		"Banned Player"

// Donator companions
"npc_donator_companion_cookies"					"Coook-shan"
"npc_donator_companion_admiral_bulldog"			"Bulldong"
"npc_donator_companion_baumi"					"Baumini's"
"npc_donator_companion_icefrog"					"About that cat.."
"npc_donator_companion_amaterasu"				"Amaterasu"
"npc_donator_companion_suthernfriend"			"Suthern-shan"
"npc_donator_companion_devourling"				"Devourling"
"npc_donator_companion_zonnoz"					"Pudgling"
"npc_donator_companion_acalia"					"Desu"
"npc_donator_companion_demi_doom"				"Doomling"
"npc_donator_companion_carty"					"Carty"
"npc_donator_companion_carty_dire"				"Dire Carty (flying)"
"npc_donator_companion_llama"					"LLama"
"npc_donator_companion_jumo"					"Jumo"
"npc_donator_companion_jin"						"Jin (White)"
"npc_donator_companion_baekho"					"Baekho"
"npc_donator_companion_devourling"				"Devourling"
"npc_donator_companion_vaal"					"Vaal"
"npc_donator_companion_sappling"				"Sappling"
"npc_donator_companion_itsy"					"Itsy"
"npc_donator_companion_golem"					"Apostate Golem"
"npc_donator_companion_boooofus"				"Boooofus"

// Donator statues
"npc_imba_donator_statue_brewmaster_earth_spirit"		"Earth Spirit (Brewmaster)"
"npc_imba_donator_statue_brewmaster_ember_spirit"		"Fire Spirit (Brewmaster)"
"npc_imba_donator_statue_brewmaster_storm_spirit"		"Storm Spirit (Brewmaster)"
"npc_imba_donator_statue_grillhound"					"Grillhound"
"npc_imba_donator_statue_llama"							"Llama"
"npc_imba_donator_statue_roshan"						"Roshan"
"npc_imba_donator_statue_crystal_maiden_arcana"			"Crystal Maiden (Arcana)"

"npc_imba_donator_statue_cookies"						"EarthSalamander's Chocobo"
"npc_imba_donator_statue_suthernfriend"					"suthernfriend's Dog"
"npc_imba_donator_statue_acalia"						"Acalia"
"npc_imba_donator_statue_lily"							"NyanToast"
"npc_imba_donator_statue_exzas"							"Exzas"
"npc_imba_donator_statue_zonnoz"						"Zonnoz guard dog"
"npc_imba_donator_statue_tabisama"						"Tabisama"
"npc_imba_donator_statue_january0000"					"January0000"
"npc_imba_donator_statue_terdic"						"Terdic"
"npc_imba_donator_statue_toc"							"Toc"
"npc_imba_donator_statue_oviakin"						"Binore"
"npc_imba_donator_statue_hamahe"						"Hamahe"
